id,contract_id,providers_consulted,mipymes_consulted,providers_presented,mipymes_presented,mipymes_benefited,mipymes_participated,limited_to_mipymes,awarded_to_mipymes
e8ec4c2e-1f77-4bd5-80e0-e0298bfd9c6b,d98efdb5-e1b7-447d-9634-f99b9700ba51,,,,,,,,
874a6635-39e4-4d16-b015-b6c16fd29f17,d95675d3-fb93-40db-8ffa-6198b368f128,,,,,,,,
2bcf48d9-2f4e-46a5-9443-a0a65952e4b7,a856a5a1-6b17-453a-96b6-a5ce93e3b700,,,,,,,,
080e298b-b710-4c16-a008-9fe48875c325,1fb64eda-87f7-45b1-a949-e004c0ff957f,,,,,,,,
5b9322e0-0fbe-4948-81a4-e72a08a87beb,ab93e2dc-84d0-4dca-9e92-64693c9f62e4,,,,,,,,
589251ea-b414-4345-a0cf-c913657dbffa,17655051-01f0-4920-a7e6-83aea0d6c775,,,,,,,,
96f5a21c-a588-41e9-8cfe-96e964e22e73,eb87e629-31c4-4fb7-bec0-7acfa3ba897a,,,,,,,,
945839b8-fed0-47fe-9644-39133e8ed69a,5c449e7a-6b39-4e24-ab4e-4b4e641643d8,,,,,,,,
e7bc1245-1db4-4e4d-8dea-5b0b8442005c,76ce4f72-7cbc-40be-ba9b-aaf22f4d3db7,,,,,,,,
fffe3780-f3f2-4d24-8220-67cb0d2134bf,33ec76b9-4589-412b-991f-b238c46d554d,,,,,,,,
5c3f07f6-a43e-4ddd-a8bb-085fd5f13db6,056dd0ff-a696-4945-96b2-fe76cd3ec81e,,,,,,,,
39aed5a8-a163-4c9b-b3d4-83d828d66c3c,a715450c-68ae-40e7-a13c-353cbb2d9a5a,,,,,,,,
87eda98d-1eb1-4959-bf9e-9897f4c5c854,c265586f-06ac-47b9-a3b9-1969f269cceb,,,,,,,,
7352f27d-9ac9-4bfc-ba15-956711455aa7,3f3d71a6-33a3-4f84-a711-fa546022fc6c,,,,,,,,
2438a8e5-0d31-40ac-8ab9-8bc02d88f0fe,15ea37d0-9ee1-4d80-8af4-7383b4e3f4f8,,,,,,,,
8dd411c9-8b1a-464f-9418-90cacbc02fc2,ee55e9e1-2379-4be6-a80f-d9db9cd5cfa1,,,,,,,,
2bc9f8b5-8546-4f44-8fa0-3f361790a681,f76faa8d-0da2-44a9-85ed-b63351417e8f,,,,,,,,
ee0ec585-89dc-4d62-8992-efa598bcd5d3,c96b903f-bf57-43ac-9031-1d362ed79710,,,,,,,,
13080887-a630-4830-8e65-39d00c53a77c,2c8c9d15-b3b9-49d7-82c5-152de694ccb2,,,,,,,,
5162f372-88e8-42f3-92fa-5e1cdd72b70f,f5237182-8d4e-46e8-b9e5-1c2ad85b19d3,,,,,,,,
90cc97a4-44b6-478b-a8e2-d67af6473e85,28abcea4-5807-4e9e-acdd-2f698e64da2f,,,,,,,,
cb54c458-c9aa-4769-8c85-a7057ed745ef,18193911-095b-4398-9802-9770e809dda6,,,,,,,,
63bd5711-3fad-47d4-9aea-30ea377e7abf,53f4eb93-228c-44cb-bb55-4eeb6fba6ad2,,,,,,,,
a1eb20e7-166a-4eea-b6bd-b178c572359c,94abdf28-6177-4739-ba9d-ba089faaa386,,,,,,,,
39578ae5-e8de-4cf1-8660-0eb4d042cd2e,050329ce-588f-463e-83f9-1db7f8dae7ff,,,,,,,,
07b2ee49-41d8-4a79-be83-3c7284eeaede,c42e46b6-3efc-49f7-b32f-ae0aaf6bb83a,,,,,,,,
555dc80b-dd78-4c14-9e4a-a8e99669d266,b19cc748-4e56-49bb-bd1a-4d97bd062540,,,,,,,,
9af35aa1-a031-424b-b5e1-7b58a9d37dae,f3eb4da1-16eb-4c7e-a3da-228e56ea6741,,,,,,,,
190bfa34-ada8-4585-8b44-0a4334c4e78c,d3e57c09-563d-4b50-bbcc-4490f8c4cfce,,,,,,,,
49530f38-b421-4bf6-8d83-be78d6327ad4,c07cc6c2-f6cc-4a32-a4b6-09fc8a2284eb,,,,,,,,
18cd7db3-023e-4fca-9e21-ceed61b3242e,eb1a3823-c958-4db5-af1a-17be594e09b6,,,,,,,,
284016e6-b35c-4c6c-b52e-ff211a835ff5,5534eb53-02cc-430c-bc5e-ddc2eca713e7,,,,,,,,
857f4276-2e27-4351-b28c-7e3e03b89515,186d9360-2f90-435c-98fb-8bbb0ddc08e9,,,,,,,,
5f4544d7-699c-4ce9-95d1-2869231ad8b6,da4efaff-8da6-44ec-b230-8a1815aa584d,,,,,,,,
5c552917-bd32-4c96-b243-1a9a1ee5a1b9,2dbb259d-cef8-41fe-8f23-85baa7f5c033,,,,,,,,
1d4c8b53-a124-4ef2-8cf7-4b753f1ae140,2f9b1cb8-9a71-48b8-aa08-db4621d88fd3,,,,,,,,
eeb73368-632c-4729-aaf1-e22184f8d448,dfab3951-22f6-4a1e-98d1-4a2d7aeaeb68,,,,,,,,
1ea871f5-33fb-43b3-a8c7-a71b385fbec8,b121f174-c9c5-4bdc-822c-125d7e616157,,,,,,,,
135436b6-cf58-483a-a501-c7b9fafb9a90,638537cf-2b88-4479-a600-c2265ad3ae88,,,,,,,,
277f1c13-265b-46a2-a2e2-43abc794bca1,d27804af-365f-4a18-a4aa-e33f70acf9cb,,,,,,,,
9e92d961-712e-4178-99aa-2b4118a41e52,8e247e16-cfb4-4285-9977-c911bfcb6d74,,,,,,,,
6c83a5c3-c7cb-4811-b575-62f15e807642,98b01028-5ee4-4a63-97a7-5cd889e40710,,,,,,,,
3bd7a1ce-8581-48db-90f3-d11c10a5d4a7,67ecc25e-2de7-4377-9d48-67b3d00ebc81,,,,,,,,
d119e4b0-c1a4-4585-b1e5-54010257b444,ca1340e2-11d2-47ab-b53e-d39f94b136b0,,,,,,,,
26323bf4-8286-4fc8-82a4-59aa6593d69b,49e34633-b2d5-4f7d-9e87-ff418261ac49,,,,,,,,
fa60df56-dccb-4fc9-9909-6680d591e337,cd3dd0dc-e9e2-44b1-8687-7f2f7e4f4b1d,,,,,,,,
0664072c-5833-4e30-94e8-3c605fcc87f5,2d9b7302-fb92-40af-b2a1-520d83fbb348,,,,,,,,
05f8142d-f232-47da-9a43-921550a4db34,952483f0-6f78-404f-b665-96f5e76d478c,,,,,,,,
31f38516-6aa6-429c-a8df-5326676051db,f2e98c67-4d17-4b83-969f-79f6cfbb74af,,,,,,,,
3184362b-320b-4bc7-b38b-8bbfec9cb86f,beb86d82-f198-4595-a1f9-6ff37bef8ad5,,,,,,,,
c9a08ab6-7272-45c1-8b42-2fd5364f665d,d335d1d7-6177-4d59-bf35-38b807d8e142,,,,,,,,
37ec46f7-6d15-4a8e-a8a3-27649c2b5722,e47fe890-1885-4f35-a5bf-775d0893572e,,,,,,,,
6f58d61b-a1ab-447a-a5eb-39965ac892d6,f5b31b08-123a-459a-be94-9af259ae79fd,,,,,,,,
0c04db4c-3352-4e9e-a56f-4248bff42a30,80050d1a-df3c-4c18-943b-20948ee1cae1,,,,,,,,
090199c6-79e5-40c1-940a-80c2e6b36cf4,45051803-4c43-4b5a-b1f3-b49c81fa8e56,,,,,,,,
13a07324-cd83-4b25-a450-03df538a8efc,fa6e6635-77c6-4882-86a1-a8b721395d35,,,,,,,,
6eeeb559-8a05-4dd6-9e17-43748c1e0f71,e7d79a6b-2dea-4ed7-8147-64859db804a4,,,,,,,,
