id,contract_id,commitment_type,number,value,budget_code,date,is_addition
3e8bc688-422c-4069-baa8-771778464670,29e1835e-07ce-4e98-8a64-432730707c3c,CRP,2022-020,36000000.0,2.5.5.02.09.01.04.01.06,2022-01-21,False
ef9bce3c-d3a0-4534-a70a-d9b614f9305f,887403c6-633e-438a-8861-da2c5a563f34,CDP,2022-0019,21000000.0,2.5.5.02.09.01.04.01.05,2022-01-18,False
61f67416-bb06-4701-8343-9e6b394c15be,887403c6-633e-438a-8861-da2c5a563f34,CRP,2022-019,21000000.0,2.5.5.02.09.01.04.01.05,2022-01-21,False
33c66e0a-5ad8-4e5f-9d87-aa04c27c9779,f90a92de-04b7-464e-9d14-9b5534b0a365,CDP,2022-0024,36000000.0,2.5.5.02.09.01.04.01.07- 2.5.5.02.09.01.04.01.10,2022-01-18,False
0ce90c67-6296-4c2a-8b86-ee21080becce,f90a92de-04b7-464e-9d14-9b5534b0a365,CRP,2022-021,36000000.0,2.5.5.02.09.01.04.01.07- 2.5.5.02.09.01.04.01.10,2022-01-24,False
326e9ba9-1413-4235-b899-819618f2d4cf,ca9b2b63-44ad-4c4b-b0b2-711d6c5cda1b,CDP,2022-0026,42840000.0,2.1.2.02.02.008.02,2022-01-19,False
5fb92e78-17e4-49a9-812f-307afaf7bb87,ca9b2b63-44ad-4c4b-b0b2-711d6c5cda1b,CRP,2022-022,42840000.0,2.1.2.02.02.008.02,2022-01-25,False
07683143-f164-4d5f-a6cf-96b362054ebe,ecbf455f-43fa-4656-9080-f3d79ef14842,CDP,2022-0031,30000000.0,2.1.2.02.02.008.02,2022-01-20,False
358e9241-f605-4c31-b51f-38d9d060b131,ecbf455f-43fa-4656-9080-f3d79ef14842,CRP,2022-023,30000000.0,2.1.2.02.02.008.02,2022-01-26,False
ef8ac105-d8b5-49cb-a450-e1958fb1bd84,dcc294c4-cae5-4e0f-acda-24a21ee881ab,CDP,"2022-027 2022-022
DIS-2023000039
DIS-2023000197
DIS-2024000155
DIS-2025000172
DIS-2025000293",747230750.0,2.5.5.02.09.01.03.01.02,,False
f5763262-f928-44ac-b410-673f4b787464,dcc294c4-cae5-4e0f-acda-24a21ee881ab,CRP,"2022-030
RES-2023000036
RES-2023000187
RES-2024000191
RES-2025000169
RES-2025000291",747230750.0,2.5.5.02.09.01.03.01.02,,False
8b32f882-34a8-4ab6-a921-e43514f07fec,2a10d2de-23e9-4dca-8875-9cf649108e08,CDP,2022-032,27600000.0,2.1.2.02.02.008.08,2022-01-24,False
4a558777-e9e2-406d-87f5-c490be711bf5,2a10d2de-23e9-4dca-8875-9cf649108e08,CRP,2022-024,27600000.0,2.1.2.02.02.008.08,2022-01-26,False
0da0815e-7c78-442f-8bbc-379075f4e03e,74250d53-1bb4-4eb1-a53f-6a6c8834c2b8,CDP,2022-036,27000000.0,2.5.5.02.09.01.03.01.01,2022-01-25,False
739e44aa-a680-4526-8db9-479e85492b3c,74250d53-1bb4-4eb1-a53f-6a6c8834c2b8,CRP,2022-026,27000000.0,2.5.5.02.09.01.03.01.01,2022-01-27,False
303fc587-b233-469f-9163-05a51dfe8024,f07f23ac-72b1-4009-880f-ae74a9ae18bc,CDP,2022-037,27000000.0,2.5.5.02.09.01.04.01.08,2022-01-25,False
a8a1fcde-7e25-4f49-ae1b-9d1fb4c75a1f,f07f23ac-72b1-4009-880f-ae74a9ae18bc,CRP,2022-027,27000000.0,2.5.5.02.09.01.04.01.08,,False
51f6e74d-c47a-42d3-b87d-aedb10ac407e,a83de6d6-636c-489f-aed8-f0d65223cc78,CDP,2022-039,14520000.0,2.1.2.02.02.008.09,2022-01-25,False
45e9519d-78bf-49be-806f-80bea694b3c7,a83de6d6-636c-489f-aed8-f0d65223cc78,CRP,2022-028,14520000.0,2.1.2.02.02.008.09,2022-01-28,False
