id,contract_id,amendment_number,modification_type,amendment_value,amendment_date,cdp_number,cdp_value,cdp_date,cdp_budget_code,crp_number,crp_value,crp_date,crp_budget_code
caeffa08-390a-4e5a-8294-f36d4bea9c24,41bbc752-315b-4988-9761-27159d95c3c5,1,ADICION,2811958015.0,,,,,,,,,
20e0bdff-7191-4f75-97cd-c23b2afcf067,2e252cc0-cae7-4a6f-83bd-79294fb9daf8,1,ADICION,180000.0,,,,,,,,,
29a31127-bead-4f7f-b4f2-2f078f26f6b5,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,1,ADICION,9386920759.49,,,,,,,,,
9ec9e9c8-452c-473a-b006-02845cf81a23,5e339573-db40-49c1-a7a0-2c7034b6bc55,1,ADICION,5000000.0,,,,,,,,,
c8bcf887-6a10-43d0-bf70-b593b8ab19ce,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,1,ADICION,1405373753.62,,,,,,,,,
10e3ef03-2791-4f62-a6c5-b4269eb2db05,8abcd97a-5d14-49f3-b63c-11c3ea21e235,1,ADICION,75111997.0,,,,,,,,,
4b2d2b3d-82ff-4cbf-b30d-bef0d07a3c4d,3cac9082-a7fb-4468-970e-093bfdc39570,1,ADICION,65340000.0,,,,,,,,,
89f1ff27-e2e2-406e-85c8-8cd2376d1e4f,c867108f-b573-4822-9aad-d7b1f9b6afa2,1,ADICION,72664210.0,,,,,,,,,
2adfa2cd-4e29-4a02-9f94-57070516b65d,d5fa3de0-cfc2-4b89-8fe0-89b8cb148d85,1,ADICION,61438581.0,,,,,,,,,
7c473a98-46f0-4ccf-9994-64f4bc7928b4,6497c26f-d665-4715-81ea-2ba034025abf,1,ADICION,2252614494.0,,,,,,,,,
5a7e1e79-bc16-444c-8c88-d0aa8cfb7a0f,b11bc672-c57f-49c9-afc2-ee332bc37803,1,ADICION,112630724.7,,,,,,,,,
5cbe1c92-fe2c-4f4c-a779-52d56a4926f2,8ecf1438-d3f6-43f1-a56c-d1cbe8dd8bc8,1,ADICION,669809555.0,,,,,,,,,
a6d97116-9be8-4dc4-87f4-b65f92c8f9bf,ddf83f28-4892-4b85-941c-0d3503c73311,1,ADICION,152000000.0,,,,,,,,,
153f796e-3150-4e3e-8aef-a53b3e694930,c2081d6e-9b70-4e64-a09b-01855a4414c3,1,ADICION,806666.0,,,,,,,,,
b95af5d5-daf2-4c51-a669-e5c05ebc0d69,f1411ba6-7674-46a7-ae80-4836db5f1ae1,1,ADICION,288505679.0,,,,,,,,,
3be3f3b8-0556-4c86-b542-c4aa85a7e0de,ce9e1730-7bdb-4164-9553-9184119d52ea,1,ADICION,6188000.0,,,,,,,,,
d7cb7871-3534-4c8e-98f1-33780e0b5af2,93db5133-8707-403d-940e-3504660cb557,1,ADICION,6000000.0,,,,,,,,,
f03c9aff-3957-4e88-b0ad-8adcffa614a3,f9e85ef9-a2b3-401c-8304-7a85da944a2c,1,ADICION,49458961.0,,,,,,,,,
15ee5a0f-df17-444a-a0a4-03ba78507744,1a01ebb2-4add-4415-a314-94d79c1edb1f,1,ADICION,7996800.0,,,,,,,,,
bb2419e0-3d7d-49c3-9fd0-d5c64086e818,0da88a85-42b9-4529-88ca-31097d3df83e,1,ADICION,43119132.6,,,,,,,,,
5d8137cc-a749-4153-a697-47c33ed2baf1,2a7fce8a-bcd1-4c38-a35c-14a11782c2b6,1,ADICION,13730577.0,,,,,,,,,
43729f91-95fd-4820-8e4f-2d7e4139781b,3e77a4de-f3bb-4da8-a288-3a02dad44e54,1,ADICION,173068543.98,,,,,,,,,
64931847-219b-4b35-a917-83969b0f679e,397019de-8f02-4a35-b094-87b2a4307e00,1,ADICION,32000000.0,,,,,,,,,
ad23dc0e-1671-4f59-8f7a-632f7463869e,16231b91-e560-4e85-baca-038f94d3e408,1,ADICION,6400000.0,,,,,,,,,
029397da-8602-47a1-a7fd-686eeaac2c7a,1a2b9149-8e85-46c6-909c-c45b792b4188,1,ADICION,13440000.0,,,,,,,,,
7688d1ad-a555-4195-9354-9726ba3a1b4a,04c4b089-e1c1-4c5f-94d3-04450cb053b5,1,ADICION,230559027.0,,,,,,,,,
cfcd6a87-da1e-4bb0-a9bc-7682091f309e,fa31d417-0bd3-4dea-a921-5cc47ce50750,1,ADICION,19881104.31,,,,,,,,,
cd6b65bb-77c2-4972-9632-0f5faa59d4a9,1f3b5c43-e1ce-4476-931d-85c7144db12a,1,ADICION,27869000.0,,,,,,,,,
79b0a97e-1c6b-4863-aec8-84a34944e471,dbf963f4-08ee-4a9f-be43-e6ebf50f6f3c,1,ADICION,9666667.0,,,,,,,,,
2bb02938-d167-4b0e-b860-e2476b09cd5b,4da7409d-bbed-4b81-aae2-a944174f3001,1,ADICION,13533333.0,,,,,,,,,
