id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
0889dfe8-ffe9-481b-8b1d-654bdb321f32,60e6c85d-62fe-4879-81ff-48d56b532b6e,1,DOS (2) MESES,,,
9eb543a5-bb4c-4889-b4b5-5eb4c4dba723,60e6c85d-62fe-4879-81ff-48d56b532b6e,2,DOS (2) MESES,,,
4dd402a2-5229-4fda-94da-4bae560a8e30,02a75e72-38c6-4f43-a8d2-a42170a0d0ee,1,DOS (2) MESES,,,
d2fc7087-d456-4e12-930a-0582c40cbcef,02a75e72-38c6-4f43-a8d2-a42170a0d0ee,2,DOS (2) MESES CINCO (5) DIAS,,,
90874957-a49c-4984-8294-e796a518067f,33fea159-f2dd-45d8-bbaa-93a79843a8e6,1,DOS (2) MESES,,,
8863ec49-5698-45b2-bafc-05fbc0855f35,4ef51255-a12a-43fb-a710-01e3616e6931,1,DOS (2) MESES,,,
e9cb0527-512a-4c0d-b14b-9204cef4d4ee,dc6349db-d9bf-42c6-b522-af01c8a93cba,1,DOS (2) MESES,,,
f5745b84-8bdc-4646-9d2c-d2f54ade10c8,dc6349db-d9bf-42c6-b522-af01c8a93cba,2,DOS (2) MESES CINCO (5) DIAS,,,
9a509d81-7117-4c0a-9f36-9e4808344f35,f9103b2e-9aaa-4bd0-92c1-e5f2594a4210,1,DOS (2) MESES,,,
9ab9a2bf-ad46-4d52-9de9-62dfbca39ba1,ba2dc35e-315a-4129-bca9-3ef6f8e7daa4,1,DOS (2) MESES,,,
78363629-30e0-4a32-b173-c5d1bf5eeb36,d11a9d81-7b81-4adb-a877-d805d460cba4,1,TRES (3) MESES VEINTIDOS (22) DIAS,,,
f12959a2-93fc-4c35-b1f7-e60f504f458a,fe426147-b69d-4bfb-a2a1-fcabf8bd4413,1,TRES (3) VEINTIUN (21) DIAS,,,
52ff8bc2-430a-4e9c-ab0f-362000cecfaa,5ecbaae6-cb64-4e97-ae76-f5f0ddf88884,1,UN (1) MES,,,
3da2b288-1cdc-4f51-863a-c61fdbd678e8,518c7861-c100-47e6-9207-ae2b52e7a45f,1,VEINTICINCO (25) DÍAS,,,
600e4c3f-69e7-4da9-a080-bd9af8072da1,518c7861-c100-47e6-9207-ae2b52e7a45f,2,TREINTA (30) DÍAS,,,
4ad9fd8d-957c-481e-a44f-4477b249eb57,518c7861-c100-47e6-9207-ae2b52e7a45f,3,TREINTA Y UN (31) DÍAS,,,
d4de984c-066e-4d7a-bb0a-393cb33f128c,518c7861-c100-47e6-9207-ae2b52e7a45f,4,DOS (2) MESES Y VEINTINUEVE (29) DÍAS,,,
b8ba899f-6587-4aa3-bea9-aba228d10f7b,c5b0f43c-ee1c-4e77-b98f-0b52a8a47526,1,UN (1)MES TRECE (13)DIAS,,,
d6452e9f-155b-4408-aa3d-6a67c1edf213,9dcfb73a-19e9-4b14-a1d4-bdb78614215e,1,QUINCE (15) DIAS,,,
ee4d6639-3d78-42a4-8679-3abefaca177f,4a4f7997-4406-475e-b8d8-2fa0d130ca4d,1,DOS (2) MESES,,,
349b904b-066a-42e0-b1d3-df2afe300366,355bb8f5-681b-4000-a6ef-641d2bda8360,1,QUINCE (15) DIAS,,,
23c4a856-b028-43af-8ec5-3035cb7dc126,abeed855-3a9d-4c8e-8bef-da4b4a282ff0,1,QUINCE (15) DIAS,,,
7e4fb1d4-af51-4dc1-95ca-0874559c7afa,bb86f66b-e92c-4f8f-837c-37023e7d6e3e,1,QUINCE (15) DIAS,,,
b385b693-1478-4262-97b0-6143b1e980d5,ad1b7114-dcc4-4e6b-a1e0-e0005e55d6f5,1,QUINCE (15) DIAS,,,
96ebde6b-4cb2-4696-a434-ced5e7d6e312,cbc56e50-6a3c-431d-8c38-1dddcd269148,1,QUINCE (15) DIAS,,,
f45d26ac-3da9-495c-bf13-7c1a8537b725,d59f0ae3-a763-41e6-9eb7-3c52297829ff,1,UN (1) MES,,,
cd60cea0-60be-4d23-846c-c96fa0a12650,e0bc8caf-a5f8-41d8-a5eb-1ffe4975478b,1,QUINCE (15) DIAS,,,
