id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
b8041419-4cba-460b-b101-d36935f895f2,8abcd97a-5d14-49f3-b63c-11c3ea21e235,5,86 DIAS,86.0,,
435c8656-9657-4703-839f-3f1238c14d73,8abcd97a-5d14-49f3-b63c-11c3ea21e235,6,2 MESES,60.0,,
5b0c1475-266e-4be5-99a5-081d15db66a3,e2b0952b-dbda-4091-ac0a-da837afd6ba0,1,45 DIAS,45.0,,
8e4d9b07-5cff-4177-8bd5-9ff4741f5fd7,e2b0952b-dbda-4091-ac0a-da837afd6ba0,2,30DIAS,30.0,,
6e5b0b53-3de6-4311-b285-9914fcdacc65,e2b0952b-dbda-4091-ac0a-da837afd6ba0,3,15 DIAS,15.0,,
f3040fbf-9e7c-4aa1-a0ee-cb8aada23112,3cac9082-a7fb-4468-970e-093bfdc39570,1,2 MESES,60.0,,
0f90e0ec-4736-433d-86e5-dd07743bca74,3cac9082-a7fb-4468-970e-093bfdc39570,2,1 MES,30.0,,
6348c9c4-cb22-412b-a4a0-df157c4a09d9,9178acb4-715a-4796-a2e5-6cbc4c9cd9b5,1,30 DIAS,30.0,,
a4ae1ef5-d077-4ac5-8b97-2967ecbc4c6a,9178acb4-715a-4796-a2e5-6cbc4c9cd9b5,2,45 DIAS,45.0,,
5c778e5d-c60f-4d63-b46f-9b41762d5107,c867108f-b573-4822-9aad-d7b1f9b6afa2,1,5 MESES 10 DIAS,160.0,,
1d1e5be8-efbc-4c3d-8e0d-acebc7aa048c,d5fa3de0-cfc2-4b89-8fe0-89b8cb148d85,1,72 DIAS,72.0,,
cb9d2789-dc22-4d0a-b774-a5d060289a86,d5fa3de0-cfc2-4b89-8fe0-89b8cb148d85,2,14 DIAS,14.0,,
34b6b42f-27e1-4c07-9ea4-76dc7a133baa,6497c26f-d665-4715-81ea-2ba034025abf,1,4 meses,120.0,,
c854938d-fd7c-4a34-8067-cdc2e4602d63,6497c26f-d665-4715-81ea-2ba034025abf,2,5 meses,150.0,,
64227904-cdec-4352-ae7e-42b46a2c89ab,6497c26f-d665-4715-81ea-2ba034025abf,3,1 mes,30.0,,
acdcf3cf-bc52-4fc6-b55d-33c1e8e013c8,b11bc672-c57f-49c9-afc2-ee332bc37803,1,5 meses,150.0,,
e7e69cbc-d56d-49ad-a86f-3895c23c954b,b11bc672-c57f-49c9-afc2-ee332bc37803,2,4 meses,120.0,,
70fce385-04b2-4325-a515-e3a5e8cd85e9,b11bc672-c57f-49c9-afc2-ee332bc37803,3,1 mes,30.0,,
0891f18b-37cf-4c43-b491-5863723063e9,e028fb17-dcaa-49e2-9b7e-dd5d7c957c6d,1,45 dias,45.0,,
4306e39f-3e2e-4838-bd7e-1d2196f6d4b2,8ecf1438-d3f6-43f1-a56c-d1cbe8dd8bc8,1,72 DIAS,72.0,,
22aef538-dd90-4066-81eb-d36cc672601f,8ecf1438-d3f6-43f1-a56c-d1cbe8dd8bc8,2,14 DIAS,14.0,,
8a913674-46d3-4822-bee6-eaf88acad1bd,fcec6210-9c48-42ef-95e8-0b5e8217702d,1,32 DIAS,32.0,,
6e878fb8-fe90-4075-b9e2-d174de817d83,fcec6210-9c48-42ef-95e8-0b5e8217702d,2,2 MESES,60.0,,
e51f70db-04f5-4963-b8b6-5450421df315,fcec6210-9c48-42ef-95e8-0b5e8217702d,3,4 MESES,120.0,,
9a39d4d1-11f6-4232-9e9f-6b8e060ca1ff,fcec6210-9c48-42ef-95e8-0b5e8217702d,4,4 MESES,120.0,,
8e77ccb9-173d-486b-81b5-537100c6b008,ddf83f28-4892-4b85-941c-0d3503c73311,1,5 MESES,150.0,,
e3055841-260a-4e27-96c3-1b9600942457,ddf83f28-4892-4b85-941c-0d3503c73311,2,4 MESES,120.0,,
e30700b5-79ca-43fe-9015-8c9ed07be3b9,ddf83f28-4892-4b85-941c-0d3503c73311,3,29 DIAS,29.0,,
de2737b0-654f-47f3-9e0a-ce52c80849e9,c2081d6e-9b70-4e64-a09b-01855a4414c3,1,10 dias,10.0,,
133421c8-bbe5-4517-bf66-adf891e261a6,f1411ba6-7674-46a7-ae80-4836db5f1ae1,1,25 dias,25.0,,
8ca35b0e-c3f8-4917-902d-cd43cf4156ab,f1411ba6-7674-46a7-ae80-4836db5f1ae1,2,28 DIAS,28.0,,
c5e02929-0835-47b3-a46c-b96d4580b8eb,beb16f35-b797-45c5-a583-dec8890d7a8d,1,1 MES,30.0,,
cfda9a33-0e2a-40df-8e28-1813969d2412,add65523-7cc8-4409-8436-1b4b6e72d74c,1,21 DIAS,21.0,,
1a2fbc68-78a1-441b-90fa-a7856495bba0,93db5133-8707-403d-940e-3504660cb557,1,48 DIAS,48.0,,
81721a1c-0c77-44e1-8471-55a6ff9b8698,93db5133-8707-403d-940e-3504660cb557,2,2 MESES,60.0,,
57dc637e-f540-4e82-b720-b584ba862ad2,f9e85ef9-a2b3-401c-8304-7a85da944a2c,1,54 DIAS,54.0,,
a8ffda59-ac07-4621-ad04-86581648e566,f9e85ef9-a2b3-401c-8304-7a85da944a2c,2,60 DIAS,60.0,,
da14ff6a-e7f7-4500-beb2-3410adf013f7,f9e85ef9-a2b3-401c-8304-7a85da944a2c,3,72 DIAS,72.0,,
cfd2bff4-4cf4-4e84-9e5e-b3bd2ef58fb5,f9e85ef9-a2b3-401c-8304-7a85da944a2c,4,1 MES,30.0,,
d29dd154-d466-4988-95d5-28d56a402484,f9e85ef9-a2b3-401c-8304-7a85da944a2c,5,2 MES,60.0,,
29aab22d-5250-4148-be4d-adf7aa4b5b88,f9e85ef9-a2b3-401c-8304-7a85da944a2c,6,1 MES,30.0,,
88246b91-0e35-4358-894f-af532c11e836,86ce35fb-16dc-4a6f-8b4b-a06334c19a74,1,30 dias,30.0,,
f72161e0-38f2-4e68-80e3-8d3481abe279,1a01ebb2-4add-4415-a314-94d79c1edb1f,1,10 DIAS,10.0,,
9625e076-d3d8-4f54-9a80-b64ca2db2f08,00dbfd28-abe5-417a-ac4d-0702c3502153,1,8 DIAS,8.0,,
c501ed2f-1797-45b1-b934-54c0e73c5b5e,0da88a85-42b9-4529-88ca-31097d3df83e,1,1 MES,30.0,,
